source,conditionName,sentence,newTagL1,newTagL2,newTagL3,reviewedTag
MAYO,Arteriosclerosis  atherosclerosis,"Healthy arteries are flexible and elastic, but over time, the walls in your arteries can harden, a condition commonly called hardening of the arteries.",DECLINE,FAST,FROM 5 MINUTE TO 1 DAY,DECLINE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Arteriosclerosis  atherosclerosis,"Atherosclerosis is a slow, progressive disease that may begin as early as childhood.",DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
MAYO,Arteriosclerosis  atherosclerosis,"If you have atherosclerosis in the arteries leading to your brain, you may have signs and symptoms such as sudden numbness or weakness in your arms or legs, difficulty speaking or slurred speech, temporary loss of vision in one eye, or drooping muscles in your face.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Arteriosclerosis  atherosclerosis,"Although this is usually a sudden, catastrophic event, a slow leak is possible.",PERMANENT,,,PERMANENT
MAYO,Arteriovenous fistula,Many people who have catheter embolization stay in the hospital for less than a day and can resume daily activities within a week.,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,IMPROVE FAST FROM 1 DAY TO 1 WEEK
MAYO,Arteriovenous fistula,This procedure takes about 10 minutes.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Arthritis,"Although the exact cause of JIA is unknown, the symptoms often improve as a child gets older, meaning they can lead a normal life.",DECLINE,FAST,FROM 1 YEAR TO MORE YEAR,DECLINE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Arthritis,"This wear and tear can occur over many years, or it can be hastened by a joint injury or infection.",DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Arthritis,It most often develops in people in their mid-40s or older.,IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
NHS,Arthritis,Oligo-articular JIA often goes away without causing long-term joint damage.,IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Arthritis,These types of tests can detect problems within your joint that may be causing your symptoms.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Arthritis,"There's no cure for arthritis, but there are many treatments that can help slow it down.",PERMANENT,,,PERMANENT
NHS,Arthroscopy,Your wounds should start to heal within a few days,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,IMPROVE FAST FROM 1 DAY TO 1 WEEK
NHS,Arthroscopy,Most people recover from the effects of the anaesthetic within 48 hours,IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
NHS,Arthroscopy,you can often go home the same day,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Arthroscopy,how long it will take for you to recover from surgery,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Arthroscopy,"An arthroscopy usually takes 30 minutes to 2 hours, depending on the type of procedure carried out",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Arthroscopy,"Depending on your procedure, you may need a temporary sling, splint or crutches to support and protect the joint while you recover",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Arthroscopy,"You'll probably feel tired and lightheaded after having a general anaesthetic, so you'll need to ask someone to drive you home and stay with you for the first 24 hours",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Arthroscopy,"For many people, this is around 6 weeks after surgery, but sometimes it may not be for several months",IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
NHS,Arthroscopy,"It may be possible to return to work within 7 days if your job involves sitting at a desk, but if it's more physical, you may need to stay off work for up to 2 weeks.",IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
NHS,Arthroscopy,These usually improve in the days and weeks after the procedure,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
NHS,Arthroscopy,Dressings can usually be removed after 5 to 10 days,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
NHS,Arthroscopy,This may not be for a few weeks or several months after surgery,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
NHS,Arthroscopy,"Some people feel better after a few days, while others may not be back to normal for several months.",IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR
NHS,Asbestosis,"When the dust is breathed in, the asbestos fibres enter the lungs and can gradually damage them over time.",DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
MAYO,Asbestosis,Workers removing asbestos insulation around steam pipes in older buildings,IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Asbestosis,"Asbestosis symptoms can range from mild to severe, and usually don't appear until many years after continued exposure.",IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Asbestosis,"But you would need prolonged exposure to asbestos fibres, usually over many years, before you develop asbestosis.",IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Asbestosis,"There's no cure for asbestosis once it has developed, as it's not possible to reverse the damage to the lungs.",PERMANENT,,,PERMANENT
NHS,Asbestosis,"Asbestosis can have a big impact on your life, but support is available to help you live as independently as you can and have the best possible quality of life.",PERMANENT,,,PERMANENT
MAYO,Ascariasis,"Typically, only infections that cause symptoms need to be treated.",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Ascariasis,The whole process — from egg ingestion to egg deposits — takes about two or three months.,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR
NHS,Aspirin,It can make children more likely to develop a very rare but serious illness called Reye's syndrome,DECLINE,FAST,FROM 1 YEAR TO MORE YEAR,DECLINE FAST FROM 1 YEAR TO MORE YEAR
NHS,Aspirin,You should start to feel better 20 to 30 minutes after taking aspirin.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Aspirin,Aspirin is generally safe to take as a painkiller in the first 6 months of pregnancy (up to 30 weeks),IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
NHS,Aspirin,It's safe to take aspirin as a painkiller in the first 6 months of pregnancy (up to 30 weeks).,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
NHS,Asthma,"It affects people of all ages and often starts in childhood, although it can also develop for the first time in adults.",DECLINE,FAST,FROM 1 YEAR TO MORE YEAR,DECLINE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Asthma,Good long-term control helps you feel better from day to day and can prevent a life-threatening asthma attack.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Asthma,They should relieve your symptoms within a few minutes,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Asthma,every day as a long-term treatment to prevent symptoms – this is usually only necessary if you have very severe asthma and inhalers do not control your symptoms,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Asthma,Take breaks between tasks and avoid activities that make your symptoms worse.,IMPROVE,SLOWLY,FROM 5 MINUTE TO 1 DAY,IMPROVE SLOWLY FROM 5 MINUTE TO 1 DAY
NHS,Asthma,"There's currently no cure, but there are simple treatments that can help keep the symptoms under control so it does not have a big impact on your life.",PERMANENT,,,PERMANENT
NHS,Asthma,"Asthma is a long-term condition for many people, particularly if it first develops when you're an adult.",PERMANENT,,,PERMANENT
NHS,Asthma,"Although asthma can normally be kept under control, it's still a serious condition that can cause a number of problems.",PERMANENT,,,PERMANENT
MAYO,Asthma,Treating asthma early may prevent long-term lung damage and help keep the condition from getting worse over time.,PERMANENT,,,PERMANENT
MAYO,Asthma,Taking control of your treatment can make you feel more in control of your life.,PERMANENT,,,PERMANENT
NHS,Asthma,"There's currently no cure for asthma, but treatment can help control the symptoms so you're able to live a normal, active life.",PERMANENT,,,PERMANENT
MAYO,Asthma attack,Symptoms that fail to respond to use of a quick-acting (rescue) inhaler,IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Asthma attack,"After 20 minutes, you can repeat the treatment one time if necessary.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Asthma attack,"If your symptoms and peak expiratory flow (PEF) readings improve, home treatment may be all that's needed.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Astrocytoma,"Because brain tumors can develop in parts of the brain that control motor skills, speech, vision and thinking, rehabilitation may be a necessary part of recovery.",DECLINE,FAST,FROM 1 YEAR TO MORE YEAR,DECLINE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Astrocytoma,No alternative treatments have been proved to cure gliomas.,PERMANENT,,,PERMANENT
MAYO,Ataxia,"Normally, the ataxia resolves over time.",DECLINE,FAST,FROM 1 YEAR TO MORE YEAR,DECLINE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Ataxia,The condition typically progresses to the arms and trunk.,DECLINE,FAST,FROM 1 YEAR TO MORE YEAR,DECLINE FAST FROM 1 YEAR TO MORE YEAR
NHS,Ataxia,"Ataxia usually results from damage to a part of the brain called the cerebellum, but it can also be caused by damage to other parts of the nervous system.",DECLINE,FAST,FROM 1 YEAR TO MORE YEAR,DECLINE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Ataxia,"This rare, progressive childhood disease causes degeneration in the brain and other body systems.",DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Ataxia,hereditary ataxia – where symptoms develop slowly over many years and are caused by faulty genes that a person inherits from their parents; the most common type is Friedreich's ataxia,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Ataxia,"Some types may remain relatively stable or even improve with time, but most will get progressively worse over many years",DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Ataxia,"Some cases may improve or stay the same, while other cases may get gradually worse over time and reduce life expectancy",DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Ataxia,"It's sometimes possible to treat the underlying cause of the condition so it improves or stops getting worse, but in most cases this isn't possible and you'll have treatment to relieve your symptoms.",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Ataxia,EA1 involves brief ataxic episodes that may last seconds or minutes.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Ataxia,"involves longer episodes, usually lasting from 30 minutes to six hours, which also are triggered by stress.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Ataxia,"EA2 involves longer episodes, usually lasting from 30 minutes to six hours, which also are triggered by stress.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Ataxia,It might appear in the healing stages of the infection and last for days or weeks.,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
MAYO,Ataxia,"Sporadic ataxia can take a number of forms, including multiple system atrophy, a progressive, degenerative disorder.",IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Ataxia,The effects of the injection will usually last for up to 3 months,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH
MAYO,Ataxia,There's no treatment specifically for ataxia.,PERMANENT,,,PERMANENT
MAYO,Ataxia,Early treatment of heart problems can improve quality of life and survival.,PERMANENT,,,PERMANENT
NHS,Ataxia,"In most cases, there's no cure for ataxia and supportive treatment to control the symptoms is necessary.",PERMANENT,,,PERMANENT
MAYO,Atelectasis,"If the condition is due to a blockage, surgery or other treatments may be needed.",PERMANENT,,,PERMANENT
NHS,Atherosclerosis (arteriosclerosis),"Atherosclerosis does not tend to have any symptoms at first and many people may be unaware they have it, but it can eventually cause life-threatening problems, such as heart attacks and strokes, if it gets worse.",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
NHS,Athlete's foot,"Athlete's foot is unlikely to get better on its own, but you can buy antifungal medicines for it from a pharmacy",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Athlete's foot,They usually take a few weeks to work,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
MAYO,Athlete's foot,"It can be treated with over-the-counter antifungal medications, but the infection often recurs.",PERMANENT,,,PERMANENT
MAYO,Atopic dermatitis (eczema),You may need to try various treatments over months or years to control it.,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
NHS,Atopic eczema,But it may also develop for the first time in adults,DECLINE,FAST,FROM 1 YEAR TO MORE YEAR,DECLINE FAST FROM 1 YEAR TO MORE YEAR
NHS,Atopic eczema,Treatment for atopic eczema can help to relieve the symptoms and many cases improve over time.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Atopic eczema,"changes in skin colour – usually, skin lightening after many months of using very strong steroids, but most lightening after eczema is a ""footprint"" of old inflammation and nothing to do with treatments",IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
NHS,Atopic eczema,for many months,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH
NHS,Atopic eczema,"Typically, to be diagnosed with atopic eczema you should have had an itchy skin condition in the last 12 months and 3 or more of the following:",IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR
NHS,Atopic eczema,generally dry skin in the last 12 months,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR
NHS,Atopic eczema,"It's usually a long-term (chronic) condition, although it can improve significantly, or even clear completely, in some children as they get older.",PERMANENT,,,PERMANENT
NHS,Atopic eczema,"But there's currently no cure and severe eczema often has a significant impact on daily life, which may be difficult to cope with physically and mentally.",PERMANENT,,,PERMANENT
NHS,Atopic eczema,"There's no cure, but many children find their symptoms naturally improve as they get older",PERMANENT,,,PERMANENT
MAYO,Atrial fibrillation,"Episodes of atrial fibrillation may come and go, or you may develop atrial fibrillation that doesn't go away and may require treatment.",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Atrial fibrillation,"In atrial fibrillation, electrical signals fire from multiple locations in the atria (typically pulmonary veins), causing them to beat chaotically.",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
NHS,Atrial fibrillation,This tends to be in people aged 80 or over,IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
NHS,Atrial fibrillation,"Atrial fibrillation can be defined in various ways, depending on the degree to which it affects you.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Atrial fibrillation,"paroxysmal atrial fibrillation – episodes come and go, and usually stop within 48 hours without any treatment",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Atrial fibrillation,"When you experience symptoms of a fast heart rate, you push a button, and an ECG strip of the preceding few minutes and following few minutes is recorded.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Atrial fibrillation,"Generally, the treatment goals for atrial fibrillation are to:",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Atrial fibrillation,"After electrical cardioversion, your doctor may prescribe anti-arrhythmic medications to help prevent future episodes of atrial fibrillation.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Atrial fibrillation,Many people have spells of atrial fibrillation and don't even know it — so you may need lifelong anticoagulants even after your rhythm has been restored to normal.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Atrial fibrillation,"You may have symptoms that come and go, usually lasting for a few minutes to hours.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Atrial fibrillation,Your symptoms might go away on their own or you may need treatment.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Atrial fibrillation,"With this type of atrial fibrillation, your heart rhythm doesn't go back to normal on its own.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Atrial fibrillation,You should make a quick recovery after having catheter ablation and be able to carry out most of your normal activities the next day.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Atrial fibrillation,"If your episode of atrial fibrillation lasted more than 48 hours, you may need to take this type of medication for at least a month after the procedure to prevent blood clots in the heart.",IMPROVE,MODERATELY,FROM 5 MINUTE TO 1 DAY,IMPROVE MODERATELY FROM 5 MINUTE TO 1 DAY
NHS,Atrial fibrillation,"But you should not lift anything heavy for 2 weeks, and driving should be avoided for the first 2 days.",IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
MAYO,Atrial fibrillation,This type of atrial fibrillation is continuous and lasts longer than 12 months.,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR
NHS,Atrial fibrillation,long-standing persistent atrial fibrillation – where you have had continuous atrial fibrillation for a year or longer,PERMANENT,,,PERMANENT
NHS,Atrial fibrillation,"Atrial fibrillation is the most common heart rhythm disturbance, affecting around 1 million people in the UK.",PERMANENT,,,PERMANENT
NHS,Atrial fibrillation,"Atrial fibrillation is not usually life threatening, but it can be uncomfortable and often requires treatment.",PERMANENT,,,PERMANENT
NHS,Atrial fibrillation,"Atrial flutter is less common than atrial fibrillation, but shares the same symptoms, causes and possible complications.",PERMANENT,,,PERMANENT
MAYO,Atrial fibrillation,This test is a primary tool for diagnosing atrial fibrillation.,PERMANENT,,,PERMANENT
MAYO,Atrial fibrillation,"Although atrial fibrillation itself usually isn't life-threatening, it is a serious medical condition that sometimes requires emergency treatment.",PERMANENT,,,PERMANENT
MAYO,Atrial fibrillation,Treatments for atrial fibrillation may include medications and other interventions to try to alter the heart's electrical system.,PERMANENT,,,PERMANENT
MAYO,Atrial fibrillation,"You'll have atrial fibrillation permanently, and you'll often require medications to control your heart rate and to prevent blood clots.",PERMANENT,,,PERMANENT
MAYO,Atrial fibrillation,Atrial fibrillation is an irregular and often rapid heart rate that occurs when the two upper chambers of your heart experience chaotic electrical signals.,PERMANENT,,,PERMANENT
MAYO,Atrial fibrillation,The heart rate in atrial fibrillation may range from 100 to 175 beats a minute.,PERMANENT,,,PERMANENT
NHS,Atrial fibrillation,medicines to control atrial fibrillation,PERMANENT,,,PERMANENT
NHS,Atrial fibrillation,Medicines to control atrial fibrillation,PERMANENT,,,PERMANENT
NHS,Atrial fibrillation,Medicines called anti-arrhythmics can control atrial fibrillation by:,PERMANENT,,,PERMANENT
MAYO,Atrial septal defect (ASD),Pulmonary hypertension can cause permanent lung damage.,DECLINE,FAST,FROM 1 YEAR TO MORE YEAR,DECLINE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Atrial septal defect (ASD),"This complication, called Eisenmenger syndrome, usually develops over many years and occurs uncommonly in people with large atrial septal defects.",DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
MAYO,Atrial septal defect (ASD),Many atrial septal defects close on their own during childhood.,IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Atrial septal defect (ASD),"For simple atrial septal defects closed during childhood, only occasional follow-up care generally is needed.",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Atrial septal defect (ASD),"But if you have other heart defects besides an atrial septal defect, or if you've had atrial septal defect repair within the last six months, you might need to take antibiotics before certain dental or surgical procedures.",IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
MAYO,Atrial tachycardia,"Don't attempt to do this on your own as it may cause blood clots that could lead to a stroke, or heart or lung injury.",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Atrial tachycardia,"Atrial tachycardia episodes typically begin slowly, gradually increasing to more than 100 beats per minute before returning to a normal heart rate of around 60 to 80 beats per minute.",IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
MAYO,Atrioventricular canal defect,Signs and symptoms usually develop in the first several weeks of life.,DECLINE,MODERATELY,FROM 2 MONTH TO 6 MONTH,DECLINE MODERATELY FROM 2 MONTH TO 6 MONTH
MAYO,Atrioventricular canal defect,"If the heart defect is repaired successfully, your child will likely lead a normal life, often with no activity restrictions.",PERMANENT,,,PERMANENT
MAYO,Atrioventricular nodal reentry tachycardia (AVNRT),"Don't attempt to do this on your own as it may cause blood clots that could lead to a stroke, or heart or lung injury.",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
NHS,Attention deficit hyperactivity disorder (ADHD),"It belongs to a group of medicines called stimulants, which work by increasing activity in the brain, particularly in areas that play a part in controlling attention and behaviour",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
NHS,Attention deficit hyperactivity disorder (ADHD),Treatment for attention deficit hyperactivity disorder (ADHD) can help relieve the symptoms and make the condition much less of a problem in day-to-day life.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Attention deficit hyperactivity disorder (ADHD),"Treatment is usually arranged by a specialist, such as a paediatrician or psychiatrist, although the condition may be monitored by your GP.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Attention deficit hyperactivity disorder (ADHD),Some issues that may arise in day-to-day life include:,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Attention deficit hyperactivity disorder (ADHD),These programmes are usually arranged in groups of around 10 to 12 parents,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
NHS,Attention deficit hyperactivity disorder (ADHD),"These medications are not a permanent cure for ADHD but may help someone with the condition concentrate better, be less impulsive, feel calmer, and learn and practise new skills.",PERMANENT,,,PERMANENT
NHS,Attention deficit hyperactivity disorder (ADHD),"Although there's no cure for ADHD, it can be managed with appropriate educational support, advice and support for parents and affected children, alongside medication, if necessary.",PERMANENT,,,PERMANENT
MAYO,Attention-deficithyperactivity disorder (ADHD) in children,"Although still unproved, it may be prudent for children to avoid excessive exposure to TV and video games in the first five years of life.",DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
MAYO,Attention-deficithyperactivity disorder (ADHD) in children,"Many issues in childhood can lead to difficulty sustaining attention, but that's not the same as ADHD.",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Attention-deficithyperactivity disorder (ADHD) in children,Atomoxetine and antidepressants work slower than stimulants do and may take several weeks before they take full effect.,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
MAYO,Attention-deficithyperactivity disorder (ADHD) in children,"These treatments can relieve many of the symptoms of ADHD, but they don't cure it.",PERMANENT,,,PERMANENT
MAYO,Attention-deficithyperactivity disorder (ADHD) in children,"Timeouts should be relatively brief, but long enough for your child to regain control.",PERMANENT,,,PERMANENT
MAYO,Atypical depression,"You may have trouble doing normal day-to-day activities, and sometimes you may feel as if life isn't worth living.",IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,Atypical depression,Depression generally isn't an illness that you can treat on your own.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
NHS,Auditory processing disorder (APD),"It can affect people of all ages, but often starts in childhood.",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,Autism spectrum disorder,"Other children may develop normally for the first few months or years of life, but then suddenly become withdrawn or aggressive or lose language skills they've already acquired.",DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
MAYO,Autism spectrum disorder,"There may be a connection between children born to older parents and autism spectrum disorder, but more research is necessary to establish this link.",IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
