source,condition,url,fr0,fr1,fr2,fr3,fr4,fr5,fr6,fr7,fr2DET,fr3DET,fr4DET,fr6DET,fr7DET,Sentence,fr0ORI,fr1ORI,fr3ORI,fr4ORI,fr6ORI,fr7ORI,CEsnippet
MAYO,Chemo brain,,NONE,,,,,,,,,,,,,Take time each day to relax,NONE,,,,,,Take time each day to relax
NHS,Chemotherapy,https://www.nhs.uk/conditions/chemotherapy/what-happens/,IMPROVE,MODERATELY,FROM,2,MONTH,TO,6,MONTH,OVER,FEW,MONTH,FEW,MONTH,"Chemotherapy involves several treatment sessions, typically spread over a few months.",IMPROVE,MODERATELY,91.31,DAY,91.31,DAY,spread over a few months
NHS,Chest infection,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,ABOUT,7,DAY,10,DAY,"These symptoms can be unpleasant, but they usually get better on their own in about 7 to 10 days.",IMPROVE,FAST,7,DAY,10,DAY,"These symptoms can be unpleasant, but they usually get better on their own in about 7 to 10 days."
MAYO,Chiari malformation,,DECLINE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,PROGRESSIVE,,YEAR,,YEAR,"In some people, Chiari malformation can become a progressive disorder and lead to serious complications.",DECLINE,SLOWLY,730.5,DAY,730.5,DAY,"In some people, Chiari malformation can become a progressive disorder and lead to serious complications"
NHS,Chiari malformation,,NONE,,,,,,,,,,,,,You might not need any treatment if you do not have any symptoms,NONE,,,,,,You might not need any treatment if you do not have any symptoms
MAYO,Chickenpox,,NONE,,,,,,,,,,,,,"Children age 13 or older who haven't been vaccinated should also receive two catch-up doses of the vaccine, given at least four weeks apart",NONE,,,,,,"Children age 13 or older who haven't been vaccinated should also receive two catch-up doses of the vaccine, given at least four weeks apart"
NHS,Chilblains,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,IN,2,WEEK,3,WEEK,Chilblains usually go away on their own in 2 to 3 weeks.,IMPROVE,MODERATELY,14,DAY,21,DAY,usually go away on their own in 2 to 3 weeks.
MAYO,Child abuse,,NONE,,,,,,,,,,,,,Blames the child for the problems,NONE,,,,,,Blames the child for the problems
MAYO,Child abuse,,NONE,,,,,,,,,,,,,Teach a child about normal behavior and relationships,,,,,,,Teach a child about normal behavior and relationships
MAYO,Childhood asthma,,NONE,,,,,,,,,,,,,"Asthma signs and symptoms vary from child to child, and might get worse or better over time.",,,,,,,"Asthma signs and symptoms vary from child to child, and might get worse or better over time."
MAYO,Childhood asthma,,NONE,,,,,,,,,,,,,Minimal or no symptoms,,,,,,,Minimal or no symptoms
MAYO,Childhood asthma,,NONE,,,,,,,,,,,,,They help prevent asthma symptoms for up to 24 hours,NONE,,,,,,They help prevent asthma symptoms for up to 24 hours
MAYO,Childhood asthma,https://www.mayoclinic.org/diseases-conditions/childhood-asthma/symptoms-causes/syc-20351507,PERMANENT,,,,,,,,,,,,,"Unfortunately, childhood asthma can't be cured, and symptoms can continue into adulthood.",PERMANENT,,,,,,can't be cured
MAYO,Childhood obesity,,NONE,,,,,,,,,,,,,"What your child typically eats in a week,",NONE,,,,,,"What your child typically eats in a week,"
MAYO,Childhood schizophrenia,,NONE,,,,,,,,,,,,,"Compared with schizophrenia symptoms in adults, teens may be:",,,,,,,"Compared with schizophrenia symptoms in adults, teens may be:"
MAYO,Childhood schizophrenia,,NONE,,,,,,,,,,,,,No longer wants to socialize,,,,,,,No longer wants to socialize
NHS,"Chipped, broken or cracked tooth",,NONE,,,,,,,,,,,,,They won't be able to give you dental treatment,NONE,,,,,,They won't be able to give you dental treatment
NHS,Chlamydia,,NONE,,,,,,,,,,,,,Getting tested for chlamydia,NONE,,,,,,Getting tested for chlamydia
NHS,Chlamydia,,NONE,,,,,,,,,,,,,Under-25s who have chlamydia should be offered another test around 3 months after being treated.,NONE,,,,,,Under-25s who have chlamydia should be offered another test around 3 months after being treated.
MAYO,Chlamydia trachomatis,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,WITHIN,1,WEEK,2,WEEK,"In most cases, the infection resolves within one to two weeks.",IMPROVE,FAST,7,DAY,14,DAY,resolves within one to two weeks
MAYO,Cholangiocarcinoma (bile duct cancer),,NONE,,,,,,,,,,,,,"Ask your doctor about advance directives and living wills to help you plan for end-of-life care, should you need it",NONE,,,,,,"Ask your doctor about advance directives and living wills to help you plan for end-of-life care, should you need it"
MAYO,Cholecystitis,,NONE,,,,,,,,,,,,,"If you need to lose weight, aim to lose 1 or 2 pounds (0.5 to about 1 kilogram) a week",NONE,,,,,,5 to about 1 kilogram) a week
MAYO,Cholera,,NONE,,,,,,,,,,,,,"Although signs and symptoms of severe cholera can be unmistakable in areas where it's common, the only way to confirm a diagnosis is to identify the bacteria in a stool sample.",NONE,,,,,,"Although signs and symptoms of severe cholera can be unmistakable in areas where it's common, the only way to confirm a diagnosis is to identify the bacteria in a stool sample."
NHS,Cholera,,NONE,,,,,,,,,,,,,have diarrhoea for more than 7 days or vomiting for more than 2 days,NONE,,,,,,have diarrhoea for more than 7 days or vomiting for more than 2 days
MAYO,Cholera,,NONE,,,,,,,,,,,,,or to contaminated and improperly cooked seafood from the Gulf Coast waters.,,,,,,,or to contaminated and improperly cooked seafood from the Gulf Coast waters.
NHS,Cholesteatoma,,NONE,,,,,,,,,,,,,Cause of a cholesteatoma,NONE,,,,,,Cause of a cholesteatoma
MAYO,Chordoma,,NONE,,,,,,,,,,,,,Doctors need to perform the biopsy in a way that won't interfere with future surgery to remove the cancer,NONE,,,,,,Doctors need to perform the biopsy in a way that won't interfere with future surgery to remove the cancer
NHS,Chronic bronchitis,https://www.nhs.uk/conditions/bronchitis/,IMPROVE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,FOR,3,MONTH,2,YEAR,Chronic bronchitis is a daily productive cough that lasts for 3 months of the year and for at least 2 years in a row.,IMPROVE,SLOWLY,91.31,DAY,TO,730.5,Chronic bronchitis is a daily productive cough that lasts for 3 months of the year and for at least 2 years in a row.
NHS,Chronic fatigue syndrome,https://www.nhs.uk/conditions/chronic-fatigue-syndrome-cfs/treatment/,PERMANENT,,,,,,,,,,,,,"CFS/ME can last a long time, but most people's symptoms will improve with time.",PERMANENT,,,,,,can last a long time
MAYO,Chronic fatigue syndrome,,PERMANENT,,,,,,,,,,,,,There is no cure for chronic fatigue syndrome.,PERMANENT,,,,,,There is no cure for chronic fatigue syndrome
NHS,Chronic fatigue syndrome (CFS/ME),,NONE,,,,,,,,,,,,,Many people refer to the condition as CFS/ME,,,,,,,Many people refer to the condition as CFS/ME
MAYO,Chronic kidney disease,,DECLINE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,OVER,SEVERAL,MONTH,SEVERAL,MONTH,"Chronic kidney disease occurs when a disease or condition impairs kidney function, causing kidney damage to worsen over several months or years.",DECLINE,MODERATELY,121.75,DAY,121.75,DAY,"Chronic kidney disease occurs when a disease or condition impairs kidney function, causing kidney damage to worsen over several months or years."
MAYO,Chronic kidney disease,,NONE,,,,,,,,,,,,,Taking too many pain relievers could lead to kidney damage and generally should be avoided if you have kidney disease.,,,,,,,Taking too many pain relievers could lead to kidney damage and generally should be avoided if you have kidney disease.
NHS,Chronic kidney disease,https://www.nhs.uk/conditions/kidney-disease/,PERMANENT,,,,,,,,,,,,,Chronic kidney disease (CKD) is a long-term condition where the kidneys don't work as well as they should.,PERMANENT,,,,,,is a long-term condition
NHS,Chronic lymphocytic leukaemia,,NONE,,,,,,,,,,,,,Stage B and C CLL are usually treated straight away,,,,,,,Stage B and C CLL are usually treated straight away
MAYO,Chronic lymphocytic leukemia,,NONE,,,,,,,,,,,,,"Enlarged, but painless, lymph nodes",,,,,,,"Enlarged, but painless, lymph nodes"
MAYO,Chronic obstructive pulmonary disease,,DECLINE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,PROGRESSIVE,,YEAR,,YEAR,"Although COPD is a progressive disease that gets worse over time, COPD is treatable",DECLINE,SLOWLY,730.5,DAY,730.5,DAY,"is a progressive disease that gets worse over time, COPD is treatable"
NHS,Chronic obstructive pulmonary disease (COPD),,PERMANENT,,,,,,,,,,,,,"There's currently no cure for chronic obstructive pulmonary disease (COPD), but treatment can help slow the progression of the condition and control the symptoms.",PERMANENT,,,,,,There's currently no cure for chronic obstructive pulmonary disease (COPD)
MAYO,Chronic pelvic pain in women,,IMPROVE,SLOWLY,FROM,6,MONTH,TO,1,YEAR,LASTS,6,MONTH,LONGER,YEAR,Chronic pelvic pain is pain in the area below your bellybutton and between your hips that lasts six months or longer.,IMPROVE,SLOWLY,182.63,DAY,273.94,DAY,Chronic pelvic pain is pain in the area below your bellybutton and between your hips that lasts six months or longer.
MAYO,Chronic sinusitis,,NONE,,,,,,,,,,,,,Take these steps to reduce your risk of getting chronic sinusitis:,NONE,,,,,,Take these steps to reduce your risk of getting chronic sinusitis:
MAYO,Chronic traumatic encephalopathy,,PERMANENT,,,,,,,,,,,,,There is no cure for CTE.,PERMANENT,,,,,,There is no cure for CTE
NHS,Circumcision in men,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,AT LEAST,10,DAY,10,DAY,It usually takes at least 10 days for your penis to heal after circumcision.,IMPROVE,FAST,10,DAY,10,DAY,It usually takes at least 10 days for your penis to heal
MAYO,Cirrhosis,,NONE,,,,,,,,,,,,,Cirrhosis makes it more difficult for your liver to process drugs,NONE,,,,,,Cirrhosis makes it more difficult for your liver to process drugs
MAYO,Cirrhosis,,NONE,,,,,,,,,,,,,Treatment for alcohol dependency,NONE,,,,,,Treatment for alcohol dependency
MAYO,Claudication,,NONE,,,,,,,,,,,,,Walking three or more days a week,NONE,,,,,,Walking three or more days a week
MAYO,Cleft lip and cleft palate,,NONE,,,,,,,,,,,,,Challenges of coping with a medical condition,NONE,,,,,,Challenges of coping with a medical condition
NHS,Cleft lip and palate,,NONE,,,,,,,,,,,,,6 to 12 months – surgery to repair a cleft palate,NONE,,,,,,6 to 12 months – surgery to repair a cleft palate
NHS,Cleft lip and palate,,NONE,,,,,,,,,,,,,"Guy's and St Thomas' Hospital, London",,,,,,,"Guy's and St Thomas' Hospital, London"
NHS,Clinical depression,,IMPROVE,FAST,FROM,5,MINUTE,TO,1,DAY,,,,,,"No anaesthetic or sedative is needed, and you can leave hospital the same day",,,,,,,"No anaesthetic or sedative is needed, and you can leave hospital the same day"
NHS,Clinical depression,,NONE,,,,,,,,,,,,,Depression is more than simply feeling unhappy or fed up for a few days.,NONE,,,,,,Depression is more than simply feeling unhappy or fed up for a few days.
NHS,Clostridium difficile,,NONE,,,,,,,,,,,,,diarrhoea several times a day,NONE,,,,,,diarrhoea several times a day
MAYO,Clubfoot,,NONE,,,,,,,,,,,,,"Doctors are usually able to treat clubfoot successfully without surgery, though sometimes children need follow-up surgery later on.",NONE,,,,,,"Doctors are usually able to treat clubfoot successfully without surgery, though sometimes children need follow-up surgery later on."
MAYO,Clubfoot,,NONE,,,,,,,,,,,,,The affected foot may be slightly less flexible,NONE,,,,,,The affected foot may be slightly less flexible
MAYO,Cluster headache,,IMPROVE,MODERATELY,FROM,2,MONTH,TO,6,MONTH,LASTS,SEVERAL,WEEK,SEVERAL,MONTH,A cluster period generally lasts for several weeks to months.,IMPROVE,MODERATELY,28,DAY,121.75,DAY,A cluster period generally lasts for several weeks to months
MAYO,Cluster headache,https://www.mayoclinic.org/diseases-conditions/cluster-headache/diagnosis-treatment/drc-20352084,PERMANENT,,,,,,,,,,,,,There's no cure for cluster headaches.,PERMANENT,,,,,,There's no cure for
MAYO,Coarctation of the aorta,,NONE,,,,,,,,,,,,,Most people don't have symptoms.,,,,,,,Most people don't have symptoms.
NHS,Coccydynia (tailbone pain),,IMPROVE,SLOWLY,FROM,6,MONTH,TO,1,YEAR,FROM,FEW,MONTH,A,YEAR,"It takes a long time to recover from coccygectomy, anywhere from a few months to a year.",IMPROVE,SLOWLY,91.31,DAY,365.25,DAY,"It takes a long time to recover from coccygectomy, anywhere from a few months to a year"
NHS,Coeliac disease,,IMPROVE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,UP TO,2,YEAR,2,YEAR,"However, it may take up to 2 years for your digestive system to heal completely",IMPROVE,SLOWLY,730.5,DAY,730.5,DAY,"However, it may take up to 2 years for your digestive system to heal completely"
NHS,Cold sore,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,WITHIN,10,DAY,10,DAY,Cold sores are common and usually clear up on their own within 10 days,IMPROVE,FAST,10,DAY,10,DAY,Cold sores are common and usually clear up on their own within 10 days
MAYO,Cold sore,,NONE,,,,,,,,,,,,,Are lasting or severe,NONE,,,,,,Are lasting or severe
MAYO,Colectomy,https://www.mayoclinic.org/tests-procedures/colectomy/about/pac-20384631,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,A COUPLE,2,WEEK,2,WEEK,"Once you leave the hospital, expect a couple of weeks of recovery at home.",IMPROVE,FAST,14,DAY,2,DAY,"Once you leave the hospital, expect a couple of weeks of recovery at home."
MAYO,Colic,,NONE,,,,,,,,,,,,,Preterm and full-term pregnancies,,,,,,,Preterm and full-term pregnancies
MAYO,Colon cancer,,NONE,,,,,,,,,,,,,Getting regular physical activity may reduce your risk of colon cancer,NONE,,,,,,Getting regular physical activity may reduce your risk of colon cancer
NHS,Colonoscopy,https://www.nhs.uk/conditions/colonoscopy/what-happens-on-the-day/,IMPROVE,FAST,FROM,5,MINUTE,TO,1,DAY,AROUND,2,HOURS,2,HOURS,But you might be at the hospital for around 2 hours from getting there to going home.,IMPROVE,FAST,0.08,DAY,0.08,DAY,around 2 hours
NHS,Colonoscopy,,NONE,,,,,,,,,,,,,You're usually awake during a colonoscopy,NONE,,,,,,You're usually awake during a colonoscopy
NHS,Colour vision deficiency (colour blindness),,PERMANENT,,,,,,,,,,,,,"There's currently no cure for inherited colour vision deficiency, although most people are able to adapt to it over time.",PERMANENT,,,,,,"There's currently no cure for inherited colour vision deficiency, although most people are able to adapt to it over time."
MAYO,Common cold,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,IN,7,DAY,10,DAY,Most people recover from a common cold in a week or 10 days.,IMPROVE,FAST,7,DAY,10,DAY,Most people recover from a common cold in a week or 10 days
MAYO,Common cold,,NONE,,,,,,,,,,,,,Children and teenagers recovering from chickenpox or flu-like symptoms should never take aspirin,NONE,,,,,,Children and teenagers recovering from chickenpox or flu-like symptoms should never take aspirin
MAYO,Common cold,,PERMANENT,,,,,,,,,,,,,There's no cure for the common cold.,PERMANENT,,,,,,There's no cure for the common cold
MAYO,Common cold in babies,,NONE,,,,,,,,,,,,,"But because so many viruses cause colds, your baby may have several colds a year and many throughout his or her lifetime.",,,,,,,"But because so many viruses cause colds, your baby may have several colds a year and many throughout his or her lifetime."
MAYO,Common warts,,NONE,,,,,,,,,,,,,Common warts are usually harmless and eventually disappear on their own.,,,,,,,Common warts are usually harmless and eventually disappear on their own.
NHS,Complementary and alternative medicine,,NONE,,,,,,,,,,,,,how long the treatment will last,NONE,,,,,,how long the treatment will last
MAYO,Complex regional pain syndrome,,NONE,,,,,,,,,,,,,Antidepressants and anticonvulsants.,NONE,,,,,,Antidepressants and anticonvulsants.
NHS,Complex regional pain syndrome,,PERMANENT,,,,,,,,,,,,,"There's currently no cure for CRPS, but there are a number of treatments that can help manage the symptoms.",PERMANENT,,,,,,There's currently no cure for CRPS
MAYO,Compulsive gambling,,NONE,,,,,,,,,,,,,Be ready to answer them to reserve time to go over any points you want to spend more time on,NONE,,,,,,Be ready to answer them to reserve time to go over any points you want to spend more time on
MAYO,Compulsive gambling,,NONE,,,,,,,,,,,,,Compulsive gambling is a serious condition that can destroy lives,NONE,,,,,,Compulsive gambling is a serious condition that can destroy lives
NHS,Concussion,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,WITHIN,FEW,DAY,FEW,WEEK,"It usually only lasts up to a few days or weeks, although it sometimes needs emergency treatment and some people can have longer-lasting problems.",IMPROVE,FAST,3,DAY,14,DAY,"It usually only lasts up to a few days or weeks, although it sometimes needs emergency treatment and some people can have longer-lasting problems."
NHS,Concussion,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,WITHIN,FEW,DAY,FEW,WEEK,Most people feel back to normal within a few days or weeks of going home,IMPROVE,FAST,3,DAY,14,DAY,Most people feel back to normal within a few days or weeks of going home
MAYO,Concussion,,NONE,,,,,,,,,,,,,"As your symptoms improve, you may gradually add more activities that involve thinking, such as doing more schoolwork or work assignments, or increasing your time spent at school or work.",,,,,,,"As your symptoms improve, you may gradually add more activities that involve thinking, such as doing more schoolwork or work assignments, or increasing your time spent at school or work."
NHS,Concussion,,NONE,,,,,,,,,,,,,being a bit dazed,NONE,,,,,,being a bit dazed
MAYO,Concussion,,NONE,,,,,,,,,,,,,"Forgetfulness, such as repeatedly asking the same question",NONE,,,,,,"Forgetfulness, such as repeatedly asking the same question"
MAYO,Congenital adrenal hyperplasia,,NONE,,,,,,,,,,,,,Be ready to answer them to reserve time to go over points you want to focus on,NONE,,,,,,Be ready to answer them to reserve time to go over points you want to focus on
MAYO,Congenital heart defects in children,,NONE,,,,,,,,,,,,,"Although some children may need to limit the amount or type of exercise, many can participate in normal or near-normal activity",NONE,,,,,,"Although some children may need to limit the amount or type of exercise, many can participate in normal or near-normal activity"
MAYO,Congenital heart defects in children,,NONE,,,,,,,,,,,,,Lifelong monitoring and treatment.,,,,,,,Lifelong monitoring and treatment.
MAYO,Congenital heart defects in children,,NONE,,,,,,,,,,,,,Some congenital heart defects in children are simple and don't need treatment,NONE,,,,,,don't need treatment
NHS,Congenital heart disease,,NONE,,,,,,,,,,,,,"A balloon attached to the catheter is inflated, which helps to stretch or widen the valve and relieve any blockage in blood flow",NONE,,,,,,"A balloon attached to the catheter is inflated, which helps to stretch or widen the valve and relieve any blockage in blood flow"
NHS,Congenital heart disease,,NONE,,,,,,,,,,,,,This is usually carried out within a few weeks of birth,NONE,,,,,,This is usually carried out within a few weeks of birth
MAYO,Congenital heart disease in adults,,NONE,,,,,,,,,,,,,Some congenital heart defects might not cause any problems,NONE,,,,,,Some congenital heart defects might not cause any problems
MAYO,Congenital mitral valve anomalies,,NONE,,,,,,,,,,,,,"Many adults with congenital heart disease lead full, long and productive lives.",,,,,,,"Many adults with congenital heart disease lead full, long and productive lives."
MAYO,Congenital myasthenic syndromes,,NONE,,,,,,,,,,,,,That defect causes muscle weakness,NONE,,,,,,That defect causes muscle weakness
MAYO,Congenital myopathies,,NONE,,,,,,,,,,,,,Central core disease.,,,,,,,Central core disease.
MAYO,Conjoined twins,,NONE,,,,,,,,,,,,,They sometimes share organs or other parts of their bodies,NONE,,,,,,They sometimes share organs or other parts of their bodies
NHS,Conjunctivitis,,NONE,,,,,,,,,,,,,hold a cold flannel on your eyes for a few minutes to cool them down,,,,,,,hold a cold flannel on your eyes for a few minutes to cool them down
NHS,Consent to treatment,,NONE,,,,,,,,,,,,,a decision has to be made on whether to stop treatment for someone who's been in a state of impaired consciousness for a long time (usually at least 12 months),NONE,,,,,,a decision has to be made on whether to stop treatment for someone who's been in a state of impaired consciousness for a long time (usually at least 12 months)
NHS,Constipation,,NONE,,,,,,,,,,,,,Getting active with a disability or long-term condition,NONE,,,,,,Getting active with a disability or long-term condition
MAYO,Constipation in children,,NONE,,,,,,,,,,,,,Take your child to a doctor if the constipation lasts longer than two weeks or is accompanied by:,NONE,,,,,,Take your child to a doctor if the constipation lasts longer than two weeks or is accompanied by:
MAYO,Contact dermatitis,https://www.mayoclinic.org/diseases-conditions/contact-dermatitis/diagnosis-treatment/drc-20352748,NONE,,,,,,,,,,,,,A topical steroid may be applied one or two times a day for two to four weeks.,NONE,,,,,,for two to four weeks
MAYO,Contact dermatitis,,NONE,,,,,,,,,,,,,And some people develop a tolerance to the substance over time.,,,,,,,And some people develop a tolerance to the substance over time.
MAYO,Convergence insufficiency,,NONE,,,,,,,,,,,,,Treatments are usually effective for convergence insufficiency.,NONE,,,,,,Treatments are usually effective for convergence insufficiency.
MAYO,COPD,,NONE,,,,,,,,,,,,,"Only some chronic smokers develop clinically apparent COPD, although many smokers with long smoking histories may develop reduced lung function.",,,,,,,"Only some chronic smokers develop clinically apparent COPD, although many smokers with long smoking histories may develop reduced lung function."
NHS,Corns and calluses,,NONE,,,,,,,,,,,,,cutting away the corn or callus,,,,,,,cutting away the corn or callus
NHS,Coronary artery bypass graft,,IMPROVE,MODERATELY,FROM,2,MONTH,TO,6,MONTH,BY,6,WEEK,3,MONTH,"By 6 weeks, you should be able to do most of your normal activities and by 3 months you're likely to be fully recovered.",IMPROVE,MODERATELY,42,DAY,91.31,DAY,"By 6 weeks, you should be able to do most of your normal activities and by 3 months you're likely to be fully recovered."
NHS,Coronary artery bypass graft,https://www.nhs.uk/conditions/coronary-artery-bypass-graft-cabg/recovery/,IMPROVE,MODERATELY,FROM,2,MONTH,TO,6,MONTH,UP TO,12,WEEK,12,WEEK,Most people make a full recovery within 12 weeks of the operation.,IMPROVE,MODERATELY,84,DAY,84,DAY,full recovery within 12 weeks
NHS,Coronavirus (COVID-19),,NONE,,,,,,,,,,,,,Find out about health research studies and how you may be able to take part.,NONE,,,,,,Find out about health research studies and how you may be able to take part.
NHS,Corticobasal degeneration,https://www.nhs.uk/conditions/corticobasal-degeneration/,DECLINE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,GRADUALLY WORSENING,,YEAR,,YEAR,"Corticobasal degeneration (CBD) is a rare condition that can cause gradually worsening problems with movement, speech, memory and swallowing.",DECLINE,SLOWLY,730.5,DAY,730.5,DAY,can cause gradually worsening problems
NHS,Corticosteroid cream,,NONE,,,,,,,,,,,,,"using it for a very long time, or over a large area",NONE,,,,,,"using it for a very long time, or over a large area"
MAYO,Costochondritis,,NONE,,,,,,,,,,,,,Treatment focuses on pain relief,NONE,,,,,,Treatment focuses on pain relief
NHS,Cough,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,WITHIN,3,WEEK,4,WEEK,A cough will usually clear up on its own within 3 to 4 weeks.,IMPROVE,MODERATELY,21,DAY,28,DAY,usually clear up on its own within 3 to 4 weeks
NHS,Cough,,NONE,,,,,,,,,,,,,There's usually no need to see a GP.,NONE,,,,,,There's usually no need to see a GP.
NHS,COVID-19,,NONE,,,,,,,,,,,,,"UK: work and financial support
                

                  www",NONE,,,,,,"UK: work and financial support
                

                  www"
MAYO,Cradle cap,,NONE,,,,,,,,,,,,,"Let it soak into the scales for a few minutes, or hours if needed.",,,,,,,"Let it soak into the scales for a few minutes, or hours if needed."
NHS,Cradle cap,,NONE,,,,,,,,,,,,,there's no improvement after a few weeks of treatment,NONE,,,,,,there's no improvement after a few weeks of treatment
MAYO,Craniopharyngioma,,NONE,,,,,,,,,,,,,Neurosurgeons are able to do these precise and complicated surgeries because they work with specialists in brain imaging (neuroradiologists) and use advanced surgical navigation and mapping equipment,NONE,,,,,,Neurosurgeons are able to do these precise and complicated surgeries because they work with specialists in brain imaging (neuroradiologists) and use advanced surgical navigation and mapping equipment
MAYO,Craniosynostosis,,NONE,,,,,,,,,,,,,There are several types of craniosynostosis,NONE,,,,,,There are several types of craniosynostosis
MAYO,Creutzfeldt-Jakob disease,,DECLINE,MODERATELY,FROM,2,MONTH,TO,6,MONTH,WITHIN,,MONTH,,MONTH,"As with other causes of dementia, Creutzfeldt-Jakob disease profoundly affects the brain as well as the body, although CJD and its variants usually progress much more rapidly",DECLINE,MODERATELY,91.31,DAY,91.31,DAY,"As with other causes of dementia, Creutzfeldt-Jakob disease profoundly affects the brain as well as the body, although CJD and its variants usually progress much more rapidly"
MAYO,Creutzfeldt-Jakob disease,,DECLINE,MODERATELY,FROM,2,MONTH,TO,6,MONTH,WITHIN,,MONTH,,MONTH,"Creutzfeldt-Jakob disease is marked by rapid mental deterioration, usually within a few months.",DECLINE,MODERATELY,91.31,DAY,91.31,DAY,"Creutzfeldt-Jakob disease is marked by rapid mental deterioration, usually within a few months"
MAYO,Creutzfeldt-Jakob disease,,DECLINE,SLOWLY,FROM,6,MONTH,TO,1,YEAR,WITHIN,1,YEAR,1,YEAR,Death usually occurs within a year.,DECLINE,SLOWLY,365.25,DAY,365.25,DAY,Death usually occurs within a year
NHS,Creutzfeldt-Jakob disease,,DECLINE,SLOWLY,FROM,6,MONTH,TO,1,YEAR,WITHIN,1,YEAR,1,YEAR,"Most people with CJD will die within a year of the symptoms starting, usually from infection.",DECLINE,SLOWLY,365.25,DAY,365.25,DAY,"Most people with CJD will die within a year of the symptoms starting, usually from infection."
MAYO,Creutzfeldt-Jakob disease,,NONE,,,,,,,,,,,,,"As the disease progresses, mental symptoms worsen.",,,,,,,"As the disease progresses, mental symptoms worsen."
NHS,Creutzfeldt-Jakob disease,,PERMANENT,,,,,,,,,,,,,"There's currently no cure for CJD, so treatment aims to relieve symptoms and make the affected person feel as comfortable as possible.",PERMANENT,,,,,,There's currently no cure for CJD
NHS,Creutzfeldt-Jakob disease,,PERMANENT,,,,,,,,,,,,,"There's no proven cure for Creutzfeldt-Jakob disease (CJD), but clinical studies are underway at the National Prion Clinic to investigate possible treatments.",PERMANENT,,,,,,"There's no proven cure for Creutzfeldt-Jakob disease (CJD), but clinical studies are underway at the National Prion Clinic to investigate possible treatments."
MAYO,Crohn's disease,,NONE,,,,,,,,,,,,,"Azathioprine (Azasan, Imuran) and mercaptopurine (Purinethol, Purixan)",NONE,,,,,,"Azathioprine (Azasan, Imuran) and mercaptopurine (Purinethol, Purixan)"
MAYO,Crohn's disease,,NONE,,,,,,,,,,,,,The colon carries waste to be expelled from the body,NONE,,,,,,The colon carries waste to be expelled from the body
MAYO,Crohn's disease,,NONE,,,,,,,,,,,,,Unexplained fever lasting more than a day or two,NONE,,,,,,Unexplained fever lasting more than a day or two
NHS,Crohn's disease,,PERMANENT,,,,,,,,,,,,,"There's currently no cure for Crohn's disease, but treatment can control or reduce the symptoms and help stop them coming back.",PERMANENT,,,,,,There's currently no cure for Crohn's disease
MAYO,Croup,,NONE,,,,,,,,,,,,,Most cases of croup are mild.,,,,,,,Most cases of croup are mild.
MAYO,Cryoglobulinemia,,NONE,,,,,,,,,,,,,"Symptoms usually come and go, and may include:",NONE,,,,,,"Symptoms usually come and go, and may include:"
MAYO,Cryptosporidium infection,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,WITHIN,2,WEEK,2,WEEK,Most healthy people with cryptosporidiosis recover within two weeks without treatment.,IMPROVE,FAST,14,DAY,14,DAY,recover within two weeks without treatment.
MAYO,Cryptosporidium infection,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,WITHIN,1,WEEK,2,WEEK,The infection usually goes away within a week or two.,IMPROVE,FAST,7,DAY,14,DAY,usually goes away within a week or two
MAYO,Cryptosporidium infection,,NONE,,,,,,,,,,,,,"The first signs and symptoms of cryptosporidium infection, which usually appear within a week after infection, might include:",NONE,,,,,,"The first signs and symptoms of cryptosporidium infection, which usually appear within a week after infection, might include:"
NHS,CT scan,,IMPROVE,FAST,FROM,5,MINUTE,TO,1,DAY,WITHIN,10,MINUTES,20,MINUTES,The scan will usually take around 10 to 20 minutes.,IMPROVE,FAST,0.007,DAY,0.014,DAY,will usually take around 10 to 20 minutes.
MAYO,Cutaneous T-cell lymphoma,,NONE,,,,,,,,,,,,,Doctors don't know why the cells attack the skin,NONE,,,,,,Doctors don't know why the cells attack the skin
MAYO,Cutaneous T-cell lymphoma,,NONE,,,,,,,,,,,,,Soak for up to 10 minutes two or three times a week.,,,,,,,Soak for up to 10 minutes two or three times a week.
